id,Слово,Перевод,Тип,Курс,Урок
981,loyal,верный,SIFATLAR,B1,FILE3
982,reliable,надёжный,SIFATLAR,B1,FILE3
983,sensitive,чувствительный,SIFATLAR,B1,FILE3
984,easy-going,лёгкий в общении,SIFATLAR,B1,FILE3
985,outgoing,общительный,SIFATLAR,B1,FILE3
986,moody,капризный,SIFATLAR,B1,FILE3
987,stubborn,упрямый,SIFATLAR,B1,FILE3
988,close friend,близкий друг,İSİMLER,B1,FILE3
989,best friend,лучший друг,İSİMLER,B1,FILE3
990,in common,общее,KALIP İFADELER,B1,FILE3
991,have a lot in common,иметь много общего,KALIP İFADELER,B1,FILE3
992,crime,преступление,İSİMLER,B1,FILE4
993,criminal,преступник,İSİMLER,B1,FILE4
994,thief,вор,İSİMLER,B1,FILE4
995,robber,грабитель,İSİMLER,B1,FILE4
996,burglar,домушник,İSİMLER,B1,FILE4
997,shoplifter,магазинный вор,İSİMLER,B1,FILE4
998,mugger,уличный грабитель,İSİMLER,B1,FILE4
999,vandal,вандал,İSİMLER,B1,FILE4
1000,hacker,хакер,İSİMLER,B1,FILE4
1001,fraud,мошенничество,İSİMLER,B1,FILE4
1002,theft,кража,İSİMLER,B1,FILE4
1003,robbery,ограбление,İSİMLER,B1,FILE4
1004,burglary,кража со взломом,İSİMLER,B1,FILE4
1005,murder,убийство,İSİMLER,B1,FILE4
1006,assault,нападение,İSİMLER,B1,FILE4
1007,kidnapping,похищение,İSİMLER,B1,FILE4
1008,steal,красть,FİİLLER,B1,FILE4
1009,rob,грабить,FİİLLER,B1,FILE4
1010,burgle,вламываться,FİİLLER,B1,FILE4
1011,arrest,арестовывать,FİİLLER,B1,FILE4
1012,accuse,обвинять,FİİLLER,B1,FILE4
1013,sentence,приговаривать,FİİLLER,B1,FILE4
1014,punish,наказывать,FİİLLER,B1,FILE4
1015,prison,тюрьма,İSİMLER,B1,FILE4
1016,prisoner,заключённый,İSİMLER,B1,FILE4
1017,police station,полицейский участок,İSİMLER,B1,FILE4
1018,witness,свидетель,İSİMLER,B1,FILE4
1019,victim,жертва,İSİMLER,B1,FILE4
1020,evidence,улики,İSİMLER,B1,FILE4
1021,trial,"суд, процесс",İSİMLER,B1,FILE4
1022,guilty,виновный,SIFATLAR,B1,FILE4
1023,innocent,невиновный,SIFATLAR,B1,FILE4
1024,illegal,незаконный,SIFATLAR,B1,FILE4
1025,legal,законный,SIFATLAR,B1,FILE4
1026,safe,безопасный,SIFATLAR,B1,FILE4
1027,dangerous,опасный,SIFATLAR,B1,FILE4
1028,report a crime,заявить о преступлении,KALIP İFADELER,B1,FILE4
1029,health,здоровье,İSİMLER,B1,FILE5
1030,illness,болезнь,İSİMLER,B1,FILE5
1031,disease,заболевание,İSİMLER,B1,FILE5
1032,symptom,симптом,İSİMLER,B1,FILE5
1033,pain,боль,İSİMLER,B1,FILE5
1034,ache,"нытьё, боль",İSİMLER,B1,FILE5
1035,headache,головная боль,İSİMLER,B1,FILE5
1036,toothache,зубная боль,İSİMLER,B1,FILE5
1037,stomachache,боль в животе,İSİMLER,B1,FILE5
1038,sore throat,боль в горле,İSİMLER,B1,FILE5
1039,cough,кашель,İSİMLER,B1,FILE5
1040,flu,грипп,İSİMLER,B1,FILE5
1041,fever,жар,İSİMLER,B1,FILE5
1042,injury,травма,İSİMLER,B1,FILE5
1043,wound,рана,İSİMLER,B1,FILE5
1044,broken bone,перелом,İSİMLER,B1,FILE5
1045,prescription,рецепт (мед.),İSİMLER,B1,FILE5
1046,medicine,лекарство,İSİMLER,B1,FILE5
1047,pill,таблетка,İSİMLER,B1,FILE5
1048,injection,укол,İSİMLER,B1,FILE5
1049,operation,операция,İSİMLER,B1,FILE5
1050,GP,терапевт,İSİMLER,B1,FILE5
1051,specialist,специалист,İSİMLER,B1,FILE5
1052,pharmacy,аптека,İSİMLER,B1,FILE5
1053,emergency,экстренный случай,İSİMLER,B1,FILE5
1054,ambulance,скорая помощь,İSİMLER,B1,FILE5
1055,treatment,лечение,İSİMLER,B1,FILE5
1056,recover,выздоравливать,FİİLLER,B1,FILE5
1057,heal,заживать,FİİLLER,B1,FILE5
1058,bleed,кровоточить,FİİLLER,B1,FILE5
1059,swallow,глотать,FİİLLER,B1,FILE5
1060,breathe,дышать,FİİLLER,B1,FILE5
1061,allergic to,иметь аллергию на,KALIP İFADELER,B1,FILE5
1062,keep fit,поддерживать форму,KALIP İFADELER,B1,FILE5
1063,balanced diet,сбалансированное питание,İSİMLER,B1,FILE5
1064,environment,окружающая среда,İSİMLER,B1,FILE6
1065,pollution,загрязнение,İSİMLER,B1,FILE6
1066,climate change,изменение климата,İSİMLER,B1,FILE6
1067,global warming,глобальное потепление,İSİMLER,B1,FILE6
1068,recycle,перерабатывать,FİİLLER,B1,FILE6
1069,reuse,повторно использовать,FİİLLER,B1,FILE6
1070,rubbish,мусор,İSİMLER,B1,FILE6
1071,litter,"мусорить, мусор",FİİLLER,B1,FILE6
1072,plastic,пластик,İSİMLER,B1,FILE6
1073,packaging,упаковка,İSİMLER,B1,FILE6
1074,renewable,возобновляемый,SIFATLAR,B1,FILE6
1075,solar power,солнечная энергия,İSİMLER,B1,FILE6
1076,wind power,энергия ветра,İSİMLER,B1,FILE6
1077,fossil fuel,ископаемое топливо,İSİMLER,B1,FILE6
1078,emissions,выбросы,İSİMLER,B1,FILE6
1079,carbon footprint,углеродный след,İSİMLER,B1,FILE6
1080,endangered,вымирающий,SIFATLAR,B1,FILE6
1081,extinct,вымерший,SIFATLAR,B1,FILE6
1082,wildlife,дикая природа,İSİMLER,B1,FILE6
1083,habitat,среда обитания,İSİMLER,B1,FILE6
1084,deforestation,вырубка лесов,İSİMLER,B1,FILE6
1085,drought,засуха,İSİMLER,B1,FILE6
1086,flood,наводнение,İSİMLER,B1,FILE6
1087,heatwave,волна жары,İSİMLER,B1,FILE6
1088,sustainable,"устойчивый, экологичный",SIFATLAR,B1,FILE6
1089,eco-friendly,экологичный,SIFATLAR,B1,FILE6
1090,organic,органический,SIFATLAR,B1,FILE6
1091,public transport,общественный транспорт,İSİMLER,B1,FILE6
1092,cycle,ездить на велосипеде,FİİLLER,B1,FILE6
1093,plant,сажать,FİİLLER,B1,FILE6
1094,protect,защищать,FİİLLER,B1,FILE6
1095,destroy,разрушать,FİİLLER,B1,FILE6
1096,raise awareness,повышать осведомлённость,KALIP İFADELER,B1,FILE6
1097,education,образование,İSİMLER,B1,FILE7
1098,subject,предмет,İSİMLER,B1,FILE7
1099,lesson,урок,İSİMLER,B1,FILE7
1100,lecture,лекция,İSİMLER,B1,FILE7
1101,course,курс,İSİMLER,B1,FILE7
1102,exam,экзамен,İSİMLER,B1,FILE7
1103,test,тест,İSİMLER,B1,FILE7
1104,mark,оценка,İSİMLER,B1,FILE7
1105,grade,"оценка, класс",İSİMLER,B1,FILE7
1106,homework,домашнее задание,İSİMLER,B1,FILE7
1107,assignment,задание,İSİMLER,B1,FILE7
1108,essay,эссе,İSİMLER,B1,FILE7
1109,research,исследование,İSİMLER,B1,FILE7
1110,revision,повторение,İSİMLER,B1,FILE7
1111,term,семестр,İSİMLER,B1,FILE7
1112,primary school,начальная школа,İSİMLER,B1,FILE7
1113,secondary school,средняя школа,İSİMLER,B1,FILE7
1114,college,колледж,İSİMLER,B1,FILE7
1115,campus,кампус,İSİMLER,B1,FILE7
1116,tutor,"преподаватель, тьютор",İSİMLER,B1,FILE7
1117,headteacher,директор школы,İSİMLER,B1,FILE7
1118,pass,сдать (экзамен),FİİLLER,B1,FILE7
1119,revise,повторять материал,FİİLLER,B1,FILE7
1120,memorise,запоминать,FİİLLER,B1,FILE7
1121,concentrate,концентрироваться,FİİLLER,B1,FILE7
1122,cheat,списывать,FİİLLER,B1,FILE7
1123,drop out,бросить учёбу,FİİLLER,B1,FILE7
1124,enrol,записываться,FİİLLER,B1,FILE7
1125,qualify,получать квалификацию,FİİLLER,B1,FILE7
1126,strict,строгий,SIFATLAR,B1,FILE7
1127,optional,необязательный,SIFATLAR,B1,FILE7
1128,compulsory,обязательный,SIFATLAR,B1,FILE7
1129,academic,академический,SIFATLAR,B1,FILE7
1130,media,СМИ,İSİMLER,B1,FILE8
1131,newspaper,газета,İSİMLER,B1,FILE8
1132,magazine,журнал,İSİMLER,B1,FILE8
1133,headline,заголовок,İSİMLER,B1,FILE8
1134,article,статья,İSİMLER,B1,FILE8
1135,reporter,репортёр,İSİMLER,B1,FILE8
1136,editor,редактор,İSİMLER,B1,FILE8
1137,broadcast,трансляция,İSİMLER,B1,FILE8
1138,channel,канал,İSİMLER,B1,FILE8
1139,series,сериал,İSİMLER,B1,FILE8
1140,episode,серия,İSİMLER,B1,FILE8
1141,documentary,документальный фильм,İSİMLER,B1,FILE8
1142,news,новости,İSİMLER,B1,FILE8
1143,rumour,слух,İSİMLER,B1,FILE8
1144,fake news,фейковые новости,İSİMLER,B1,FILE8
1145,bias,предвзятость,İSİMLER,B1,FILE8
1146,source,источник,İSİMLER,B1,FILE8
1147,celebrity,знаменитость,İSİMLER,B1,FILE8
1148,influencer,инфлюенсер,İSİMLER,B1,FILE8
1149,follower,подписчик,İSİMLER,B1,FILE8
1150,comment,комментарий,İSİMLER,B1,FILE8
1151,share,делиться,FİİLLER,B1,FILE8
1152,upload,загружать,FİİLLER,B1,FILE8
1153,go viral,стать вирусным,FİİLLER,B1,FILE8
1154,subscribe,подписываться,FİİLLER,B1,FILE8
1155,biased,предвзятый,SIFATLAR,B1,FILE8
1156,entertaining,развлекательный,SIFATLAR,B1,FILE8
1157,informative,информативный,SIFATLAR,B1,FILE8
1158,addicted to,зависимый от,KALIP İFADELER,B1,FILE8
1159,switch off,выключать,FİİLLER,B1,FILE8
1160,technology,технологии,İSİMLER,B1,FILE9
1161,device,устройство,İSİMLER,B1,FILE9
1162,gadget,гаджет,İSİMLER,B1,FILE9
1163,app,приложение,İSİMLER,B1,FILE9
1164,software,ПО,İSİMLER,B1,FILE9
1165,hardware,"железо, аппаратура",İSİMLER,B1,FILE9
1166,screen,экран,İSİMLER,B1,FILE9
1167,keyboard,клавиатура,İSİMLER,B1,FILE9
1168,mouse,мышь,İSİMLER,B1,FILE9
1169,charger,зарядка,İSİMLER,B1,FILE9
1170,battery,батарея,İSİMLER,B1,FILE9
1171,network,сеть,İSİMLER,B1,FILE9
1172,cloud,облако (данные),İSİMLER,B1,FILE9
1173,data,данные,İSİMLER,B1,FILE9
1174,file,файл,İSİMLER,B1,FILE9
1175,folder,папка,İSİMLER,B1,FILE9
1176,account,аккаунт,İSİMLER,B1,FILE9
1177,click,кликать,FİİLLER,B1,FILE9
1178,scroll,прокручивать,FİİLLER,B1,FILE9
1179,search,искать,FİİLLER,B1,FILE9
1180,install,устанавливать,FİİLLER,B1,FILE9
1181,update,обновлять,FİİLLER,B1,FILE9
1182,delete,удалять,FİİLLER,B1,FILE9
1183,backup,резервная копия,İSİMLER,B1,FILE9
1184,crash,"зависать, сбой",FİİLLER,B1,FILE9
1185,freeze,зависать,FİİLLER,B1,FILE9
1186,plug in,включать в розетку,FİİLLER,B1,FILE9
1187,connect,подключать,FİİLLER,B1,FILE9
1188,wireless,беспроводной,SIFATLAR,B1,FILE9
1189,outdated,устаревший,SIFATLAR,B1,FILE9
1190,user-friendly,удобный для пользователя,SIFATLAR,B1,FILE9
1191,artificial intelligence,искусственный интеллект,İSİMLER,B1,FILE9
1192,robot,робот,İSİMLER,B1,FILE9
1193,virtual,виртуальный,SIFATLAR,B1,FILE9
1194,destination,направление,İSİMLER,B1,FILE10
1195,sightseeing,осмотр достопримечательностей,İSİMLER,B1,FILE10
1196,guidebook,путеводитель,İSİMLER,B1,FILE10
1197,landmark,достопримечательность,İSİMLER,B1,FILE10
1198,tour,"тур, экскурсия",İSİMLER,B1,FILE10
1199,tourist attraction,туристическое место,İSİMLER,B1,FILE10
1200,accommodation,жильё,İSİMLER,B1,FILE10
1201,hostel,хостел,İSİMLER,B1,FILE10
1202,resort,курорт,İSİMLER,B1,FILE10
1203,campsite,кемпинг,İSİMLER,B1,FILE10
1204,check in,регистрироваться,FİİLLER,B1,FILE10
1205,check out,выезжать,FİİLLER,B1,FILE10
1206,pack,упаковывать,FİİLLER,B1,FILE10
1207,unpack,распаковывать,FİİLLER,B1,FILE10
1208,set off,отправляться,FİİLLER,B1,FILE10
1209,get lost,заблудиться,FİİLLER,B1,FILE10
1210,hire,арендовать,FİİLLER,B1,FILE10
1211,overcrowded,переполненный,SIFATLAR,B1,FILE10
1212,off the beaten track,в стороне от туристических троп,KALIP İFADELER,B1,FILE10
1213,package holiday,пакетный тур,İSİMLER,B1,FILE10
1214,backpacker,бэкпекер,İSİMLER,B1,FILE10
1215,itinerary,маршрут,İSİMLER,B1,FILE10
1216,customs,таможня,İSİMLER,B1,FILE10
1217,luggage,багаж,İSİMLER,B1,FILE10
1218,hand luggage,ручная кладь,İSİMLER,B1,FILE10
1219,boarding pass,посадочный талон,İSİMLER,B1,FILE10
1220,turbulence,турбулентность,İSİMLER,B1,FILE10
1221,jet lag,джетлаг,İSİMLER,B1,FILE10
1222,career,карьера,İSİMLER,B1,FILE11
1223,profession,профессия,İSİMLER,B1,FILE11
1224,promotion,повышение,İSİMLER,B1,FILE11
1225,raise,повышение зарплаты,İSİMLER,B1,FILE11
1226,resign,увольняться,FİİLLER,B1,FILE11
1227,fire,увольнять,FİİLLER,B1,FILE11
1228,responsible for,ответственный за,KALIP İFADELER,B1,FILE11
1229,in charge of,отвечающий за,KALIP İFADELER,B1,FILE11
1230,deal with,иметь дело с,FİİLLER,B1,FILE11
1231,run a business,вести бизнес,FİİLLER,B1,FILE11
1232,shift work,сменная работа,İSİMLER,B1,FILE11
1233,nine-to-five,с девяти до пяти,SIFATLAR,B1,FILE11
1234,freelance,фриланс,İSİMLER,B1,FILE11
1235,internship,стажировка,İSİMLER,B1,FILE11
1236,unemployment,безработица,İSİMLER,B1,FILE11
1237,redundant,сокращённый,SIFATLAR,B1,FILE11
1238,experienced,опытный,SIFATLAR,B1,FILE11
1239,qualified,квалифицированный,SIFATLAR,B1,FILE11
1240,well-paid,хорошо оплачиваемый,SIFATLAR,B1,FILE11
1241,stressful,стрессовый,SIFATLAR,B1,FILE11
1242,rewarding,благодарный (о работе),SIFATLAR,B1,FILE11
1243,challenging,"сложный, бросающий вызов",SIFATLAR,B1,FILE11
1244,monotonous,монотонный,SIFATLAR,B1,FILE11
1245,CV,резюме,İSİMLER,B1,FILE11
1246,cover letter,сопроводительное письмо,İSİMLER,B1,FILE11
1247,reference,рекомендация,İSİMLER,B1,FILE11
1248,strength,сильная сторона,İSİMLER,B1,FILE11
1249,weakness,слабая сторона,İSİMLER,B1,FILE11
1250,team,команда,İSİMLER,B1,FILE12
1251,match,матч,İSİMLER,B1,FILE12
1252,score,"счёт, забивать",İSİMLER,B1,FILE12
1253,defeat,поражение,İSİMLER,B1,FILE12
1254,champion,чемпион,İSİMLER,B1,FILE12
1255,referee,судья,İSİMLER,B1,FILE12
1256,stadium,стадион,İSİMLER,B1,FILE12
1257,crowd,"толпа, зрители",İSİMLER,B1,FILE12
1258,athlete,спортсмен,İSİMLER,B1,FILE12
1259,race,"гонка, забег",İSİMLER,B1,FILE12
1260,compete,соревноваться,FİİLLER,B1,FILE12
1261,beat,побеждать (кого-то),FİİLLER,B1,FILE12
1262,kick,ударять ногой,FİİLLER,B1,FILE12
1263,throw,бросать,FİİLLER,B1,FILE12
1264,basketball,баскетбол,İSİMLER,B1,FILE12
1265,golf,гольф,İSİMLER,B1,FILE12
1266,volleyball,волейбол,İSİMLER,B1,FILE12
1267,hockey,хоккей,İSİMLER,B1,FILE12
1268,boxing,бокс,İSİMLER,B1,FILE12
1269,athletics,лёгкая атлетика,İSİMLER,B1,FILE12
1270,cycling,велоспорт,İSİMLER,B1,FILE12
1271,skiing,лыжи,İSİMLER,B1,FILE12
1272,supporter,болельщик,İSİMLER,B1,FILE12
1273,kit,форма,İSİMLER,B1,FILE12
1274,fair play,честная игра,İSİMLER,B1,FILE12
1275,competitive,соревновательный,SIFATLAR,B1,FILE12
1276,identity,"личность, идентичность",İSİMLER,B2,FILE1
1277,background,происхождение,İSİMLER,B2,FILE1
1278,upbringing,воспитание,İSİMLER,B2,FILE1
1279,roots,корни,İSİMLER,B2,FILE1
1280,heritage,наследие,İSİMLER,B2,FILE1
1281,generation,поколение,İSİMLER,B2,FILE1
1282,stereotype,стереотип,İSİMLER,B2,FILE1
1283,prejudice,предрассудок,İSİMLER,B2,FILE1
1284,discrimination,дискриминация,İSİMLER,B2,FILE1
1285,diversity,разнообразие,İSİMLER,B2,FILE1
1286,inclusion,инклюзия,İSİMLER,B2,FILE1
1287,belong,"принадлежать, чувствовать себя своим",FİİLLER,B2,FILE1
1288,fit in,вписываться,FİİLLER,B2,FILE1
1289,stand out,выделяться,FİİLLER,B2,FILE1
1290,take after,быть похожим на,FİİLLER,B2,FILE1
1291,look up to,равняться на,FİİLLER,B2,FILE1
1292,look down on,смотреть свысока,FİİLLER,B2,FILE1
1293,come across as,производить впечатление,FİİLLER,B2,FILE1
1294,reserved,сдержанный,SIFATLAR,B2,FILE1
1295,open-minded,широких взглядов,SIFATLAR,B2,FILE1
1296,narrow-minded,ограниченный,SIFATLAR,B2,FILE1
1297,self-aware,осознающий себя,SIFATLAR,B2,FILE1
1298,insecure,неуверенный,SIFATLAR,B2,FILE1
1299,assertive,настойчивый,SIFATLAR,B2,FILE1
1300,humble,скромный,SIFATLAR,B2,FILE1
1301,first impression,первое впечатление,İSİMLER,B2,FILE1
1302,sense of humour,чувство юмора,İSİMLER,B2,FILE1
1303,perk,льгота,İSİMLER,B2,FILE2
1304,bonus,премия,İSİMLER,B2,FILE2
1305,commission,"комиссия, процент",İSİMLER,B2,FILE2
1306,sick leave,больничный,İSİMLER,B2,FILE2
1307,maternity leave,декрет,İSİMLER,B2,FILE2
1308,notice period,срок уведомления,İSİMLER,B2,FILE2
1309,redundancy,сокращение штата,İSİMLER,B2,FILE2
1310,resignation,увольнение по собственному,İSİMLER,B2,FILE2
1311,workplace,рабочее место,İSİMLER,B2,FILE2
1312,hierarchy,иерархия,İSİMLER,B2,FILE2
1313,target,"цель, план",İSİMLER,B2,FILE2
1314,delegate,делегировать,FİİLLER,B2,FILE2
1315,supervise,контролировать,FİİLLER,B2,FILE2
1316,collaborate,сотрудничать,FİİLLER,B2,FILE2
1317,negotiate,вести переговоры,FİİLLER,B2,FILE2
1318,clock in,отмечать приход,FİİLLER,B2,FILE2
1319,demanding,требовательный,SIFATLAR,B2,FILE2
1320,tedious,утомительный,SIFATLAR,B2,FILE2
1321,fulfilling,приносящий удовлетворение,SIFATLAR,B2,FILE2
1322,dead-end,без перспективы,SIFATLAR,B2,FILE2
1323,high-powered,высокопоставленный,SIFATLAR,B2,FILE2
1324,white-collar,офисный,SIFATLAR,B2,FILE2
1325,blue-collar,рабочий,SIFATLAR,B2,FILE2
1326,gig economy,гиг-экономика,İSİMLER,B2,FILE2
1327,consumer,потребитель,İSİMLER,B2,FILE3
1328,consumption,потребление,İSİMLER,B2,FILE3
1329,retail,розница,İSİMLER,B2,FILE3
1330,wholesale,опт,İSİMLER,B2,FILE3
1331,e-commerce,электронная коммерция,İSİMLER,B2,FILE3
1332,loyalty card,карта лояльности,İSİMLER,B2,FILE3
1333,impulse buy,импульсная покупка,İSİMLER,B2,FILE3
1334,window shopping,разглядывание витрин,İSİMLER,B2,FILE3
1335,bestseller,бестселлер,İSİMLER,B2,FILE3
1336,counterfeit,подделка,İSİMLER,B2,FILE3
1337,warranty,гарантия,İSİMLER,B2,FILE3
1338,complaint,жалоба,İSİMLER,B2,FILE3
1339,haggle,торговаться,FİİLLER,B2,FILE3
1340,splurge,транжирить,FİİLLER,B2,FILE3
1341,cut back,сокращать траты,FİİLLER,B2,FILE3
1342,rip off,обдирать,FİİLLER,B2,FILE3
1343,shop around,сравнивать цены,FİİLLER,B2,FILE3
1344,overpriced,завышенный по цене,SIFATLAR,B2,FILE3
1345,good value,выгодный,SIFATLAR,B2,FILE3
1346,luxurious,роскошный,SIFATLAR,B2,FILE3
1347,ethical,этичный,SIFATLAR,B2,FILE3
1348,fast fashion,быстрая мода,İSİMLER,B2,FILE3
1349,second-hand,секонд-хенд,SIFATLAR,B2,FILE3
1350,brand-conscious,одержимый брендами,SIFATLAR,B2,FILE3
1351,status symbol,символ статуса,İSİMLER,B2,FILE3
1352,issue,"проблема, вопрос",İSİMLER,B2,FILE4
1353,controversy,"спор, полемика",İSİMLER,B2,FILE4
1354,debate,дебаты,İSİMLER,B2,FILE4
1355,argument,"аргумент, спор",İSİMLER,B2,FILE4
1356,claim,утверждение,İSİMLER,B2,FILE4
1357,opinion,мнение,İSİMLER,B2,FILE4
1358,point of view,точка зрения,İSİMLER,B2,FILE4
1359,pros and cons,плюсы и минусы,İSİMLER,B2,FILE4
1360,trade-off,компромисс,İSİMLER,B2,FILE4
1361,address,"рассматривать, решать",FİİLLER,B2,FILE4
1362,tackle,браться за проблему,FİİLLER,B2,FILE4
1363,overlook,упускать,FİİLLER,B2,FILE4
1364,exaggerate,преувеличивать,FİİLLER,B2,FILE4
1365,underestimate,недооценивать,FİİLLER,B2,FILE4
1366,justify,оправдывать,FİİLLER,B2,FILE4
1367,object to,возражать против,FİİLLER,B2,FILE4
1368,in favour of,за,KALIP İFADELER,B2,FILE4
1369,against,против,EDATLAR / BAĞLAÇLAR,B2,FILE4
1370,as far as I am concerned,что касается меня,KALIP İFADELER,B2,FILE4
1371,to a certain extent,в определённой степени,KALIP İFADELER,B2,FILE4
1372,on the one hand,с одной стороны,KALIP İFADELER,B2,FILE4
1373,on the other hand,с другой стороны,KALIP İFADELER,B2,FILE4
1374,controversial,спорный,SIFATLAR,B2,FILE4
1375,convincing,убедительный,SIFATLAR,B2,FILE4
1376,objective,объективный,SIFATLAR,B2,FILE4
1377,body,тело,İSİMLER,B2,FILE5
1378,posture,осанка,İSİMLER,B2,FILE5
1379,gesture,жест,İSİMLER,B2,FILE5
1380,facial expression,выражение лица,İSİMLER,B2,FILE5
1381,eye contact,зрительный контакт,İSİMLER,B2,FILE5
1382,handshake,рукопожатие,İSİMLER,B2,FILE5
1383,personal space,личное пространство,İSİMLER,B2,FILE5
1384,body language,язык тела,İSİMLER,B2,FILE5
1385,tone of voice,тон голоса,İSİMLER,B2,FILE5
1386,shrug,пожимать плечами,FİİLLER,B2,FILE5
1387,nod,кивать,FİİLLER,B2,FILE5
1388,frown,хмуриться,FİİLLER,B2,FILE5
1389,yawn,зевать,FİİLLER,B2,FILE5
1390,blush,краснеть,FİİLLER,B2,FILE5
1391,stare,пристально смотреть,FİİLLER,B2,FILE5
1392,glance,взглянуть,FİİLLER,B2,FILE5
1393,whisper,шептать,FİİLLER,B2,FILE5
1394,shout,кричать,FİİLLER,B2,FILE5
1395,interrupt,перебивать,FİİLLER,B2,FILE5
1396,get the wrong end of the stick,неправильно понять,KALIP İFADELER,B2,FILE5
1397,break the ice,снять напряжение,KALIP İFADELER,B2,FILE5
1398,small talk,светская беседа,İSİMLER,B2,FILE5
1399,awkward,неловкий,SIFATLAR,B2,FILE5
1400,spontaneous,спонтанный,SIFATLAR,B2,FILE5
1401,tactful,тактичный,SIFATLAR,B2,FILE5
1402,blunt,прямолинейный,SIFATLAR,B2,FILE5
1403,science,наука,İSİMLER,B2,FILE6
1404,experiment,эксперимент,İSİMLER,B2,FILE6
1405,theory,теория,İSİMLER,B2,FILE6
1406,hypothesis,гипотеза,İSİMLER,B2,FILE6
1407,lab,лаборатория,İSİMLER,B2,FILE6
1408,researcher,исследователь,İSİMLER,B2,FILE6
1409,discovery,открытие,İSİMLER,B2,FILE6
1410,innovation,инновация,İSİMLER,B2,FILE6
1411,breakthrough,прорыв,İSİMLER,B2,FILE6
1412,side effect,побочный эффект,İSİMLER,B2,FILE6
1413,vaccine,вакцина,İSİMLER,B2,FILE6
1414,gene,ген,İSİMLER,B2,FILE6
1415,DNA,ДНК,İSİMLER,B2,FILE6
1416,clone,клон,İSİMLER,B2,FILE6
1417,prove,доказывать,FİİLLER,B2,FILE6
1418,disprove,опровергать,FİİLLER,B2,FILE6
1419,analyse,анализировать,FİİLLER,B2,FILE6
1420,measure,измерять,FİİLLER,B2,FILE6
1421,observe,наблюдать,FİİLLER,B2,FILE6
1422,conclude,делать вывод,FİİLLER,B2,FILE6
1423,carry out,проводить,FİİLLER,B2,FILE6
1424,come up with,придумывать,FİİLLER,B2,FILE6
1425,accurate,точный,SIFATLAR,B2,FILE6
1426,groundbreaking,новаторский,SIFATLAR,B2,FILE6
1427,ethical dilemma,этическая дилемма,İSİMLER,B2,FILE6
1428,peer review,рецензирование,İSİMLER,B2,FILE6
1429,art,искусство,İSİMLER,B2,FILE7
1430,painting,"картина, живопись",İSİMLER,B2,FILE7
1431,sculpture,скульптура,İSİMLER,B2,FILE7
1432,gallery,галерея,İSİMLER,B2,FILE7
1433,masterpiece,шедевр,İSİMLER,B2,FILE7
1434,audience,"аудитория, публика",İSİMLER,B2,FILE7
1435,performance,выступление,İSİMLER,B2,FILE7
1436,rehearsal,репетиция,İSİMLER,B2,FILE7
1437,stage,сцена,İSİMLER,B2,FILE7
1438,plot,сюжет,İSİMLER,B2,FILE7
1439,character,персонаж,İSİMLER,B2,FILE7
1440,novel,роман,İSİMLER,B2,FILE7
1441,poetry,поэзия,İSİMLER,B2,FILE7
1442,lyrics,текст песни,İSİMLER,B2,FILE7
1443,compose,сочинять,FİİLLER,B2,FILE7
1444,perform,исполнять,FİİLLER,B2,FILE7
1445,portray,изображать,FİİLLER,B2,FILE7
1446,depict,изображать,FİİLLER,B2,FILE7
1447,inspire,вдохновлять,FİİLLER,B2,FILE7
1448,appreciate,ценить,FİİLLER,B2,FILE7
1449,abstract,абстрактный,SIFATLAR,B2,FILE7
1450,realistic,реалистичный,SIFATLAR,B2,FILE7
1451,moving,трогательный,SIFATLAR,B2,FILE7
1452,thought-provoking,наводящий на размышления,SIFATLAR,B2,FILE7
1453,overrated,переоценённый,SIFATLAR,B2,FILE7
1454,underrated,недооценённый,SIFATLAR,B2,FILE7
1455,box office,кассовые сборы,İSİMLER,B2,FILE7
1456,soundtrack,саундтрек,İSİMLER,B2,FILE7
1457,weather extreme,экстремальная погода,İSİMLER,B2,FILE8
1458,hurricane,ураган,İSİMLER,B2,FILE8
1459,tornado,торнадо,İSİMLER,B2,FILE8
1460,earthquake,землетрясение,İSİMLER,B2,FILE8
1461,tsunami,цунами,İSİMLER,B2,FILE8
1462,wildfire,лесной пожар,İSİMLER,B2,FILE8
1463,avalanche,лавина,İSİMLER,B2,FILE8
1464,landslide,оползень,İSİMLER,B2,FILE8
1465,famine,голод,İSİMLER,B2,FILE8
1466,outbreak,вспышка (болезни),İSİMLER,B2,FILE8
1467,evacuate,эвакуировать,FİİLLER,B2,FILE8
1468,rescue,спасать,FİİLLER,B2,FILE8
1469,survive,выживать,FİİLLER,B2,FILE8
1470,rebuild,восстанавливать,FİİLLER,B2,FILE8
1471,donate,жертвовать,FİİLLER,B2,FILE8
1472,volunteer,работать волонтёром,FİİLLER,B2,FILE8
1473,warn,предупреждать,FİİLLER,B2,FILE8
1474,devastating,разрушительный,SIFATLAR,B2,FILE8
1475,severe,"сильный, суровый",SIFATLAR,B2,FILE8
1476,mild,мягкий,SIFATLAR,B2,FILE8
1477,unpredictable,непредсказуемый,SIFATLAR,B2,FILE8
1478,natural disaster,стихийное бедствие,İSİMLER,B2,FILE8
1479,aid,помощь,İSİMLER,B2,FILE8
1480,shelter,убежище,İSİMLER,B2,FILE8
1481,casualty,пострадавший,İSİMLER,B2,FILE8
1482,law,закон,İSİMLER,B2,FILE9
